iduka	idu/ka
ŋinaki	ŋinaki
znat͡ʃit	znat͡ʃit
ďawaran	ďawa/ra/n
geːtəː	geː/təː
ŋoːləlt͡ʃə	ŋoːlə/l/t͡ʃə
geː	geː
goγoďəkoːrən	goγo/ďə/koː/rə/n
it͡ʃə	it͡ʃə
it͡ʃərəwun	it͡ʃə/rə/wun
təːr	təːr
aːmutkaːn	aːmut/kaːn
bargiːγiďin	bargiː/γiďi/n
aːŋďərən	aːŋ/ďə/rə/n
bəjiːtt͡ʃərən	bəjiː/t/t͡ʃə/rə/n
pəktirəːnim	pəktirəːni/m
məlt͡ʃoːt͡ʃə	məlt͡ʃoː/t͡ʃə
iːkəːriːwon	iːkəːriː/wo/n
tariŋiːwun	tari/ŋiː/wun
muːloː	muː/loː
oːŋkaːnən	oːŋkaːn/ə/n
bururən	buru/rə/n
ďetŋoγow	ďet/ŋoγo/w
pətkət	pətkət
tozowkatpi	tozowka/t/pi
dilmaːliːn	dil/maː/liː/n
pəktiroːnən	pəktiroːn/ə/n
naːpkaːnən	naː/p/kaː/nə/n
əjəːďənnə	əjəː/ďə/n/nə
muːduː	muː/duː
guɲďərən	guɲ/ďə/rə/n
əjəːpkiː	əjəː/pkiː
iɲďərən	iɲ/ďə/rə/n
tihaktaďərən	tiha/kta/ďə/rə/n
ďawaďəndə	ďawa/ďə/ndə
aramaː	aramaː
nuŋənməːn	nuŋənməːn
urihinəwun	uri/hin/ə/wun
taːduːdaː	taːduː/daː
əːt͡ʃaːwunkə	əː/t͡ʃaː/wun/kə
luktawundaː	luk/ta/wun/daː
nuŋəməːn	nuŋəməːn
təlgətnəl	təlgə/t/nə/l
gadawun	ga/da/wun
hiːwon	hiː/wo/n
gat͡ʃaːwun	ga/t͡ʃaː/wun
tukdoː	tuk/doː
bimnin	bimnin
ej	ej
uldəwən	uldə/wə/n
ət͡ʃəːwun	ə/t͡ʃəː/wun
gadə	ga/də
biďən	bi/ďə/n
amiː	amiː
təruːttan	təruːt/ta/n
əmonmut͡ʃoːtin	əmon/mu/t͡ʃoː/tin
ďuːduː	ďuː/duː
uďaltin	uďa/l/tin
guləlduː	gulə/l/duː
tam	tam
oːkiː	oːkiː
tri	tri
ilaldawa	ila/lda/wa
wirtolotit	wirtoloti/t
dəγirəwun	dəγi/rə/wun
ďuːduːwər	ďuː/duː/wər
ŋinakinmi	ŋinakin/mi
hukuləː	hukuləː
əji	əji
hata	hata
gunďəm	gun/ďə/m
wirtolottulaː	wirtolot/tulaː
ədaːji	ə/daː/ji
it͡ʃətnoːm	it͡ʃə/t/noː/m
əwanda	ə/wa/n/da
ət͡ʃəːw	ə/t͡ʃəː/w
it͡ʃəttə	it͡ʃə/t/tə
kikirkal	kiki/rka/l
kujiːkoːtt͡ʃənəl	kujiː/koːt/t͡ʃə/nə/l
dolboltono	dolboltono
it͡ʃətt͡ʃilim	it͡ʃə/t/t͡ʃi/li/m
hagditmər	hagdi/tmər
biďirən	bi/ďi/rə/n
giːl	giː/l
gunəm	gunə/m
biďənorə	bi/ďə/no/rə
goʃaja=	goʃa/ja=
biďit͡ʃoːtin	bi/ďi/t͡ʃoː/tin
əh	əh
kak	kak
ratsijaliː	ratsija/liː
hanŋuːktam	hanŋuːkta/m
boγ	boγ
ďapkaliːn	ďapka/liː/n
it͡ʃəm	it͡ʃə/m
wolka	wolka
uďalin	uďa/li/n
wizďə	wizďə
t͡ʃaːγit	t͡ʃaː/γit
ďapkaliː	ďapka/liː
t͡ʃaːskiː	t͡ʃaːskiː
tariγit	tari/γit
girkut͡ʃa	girku/t͡ʃa
ŋinakirwi	ŋinaki/r/wi
at͡ʃir	at͡ʃi/r
t͡ʃipkaːn	t͡ʃipkaːn
warkə	wa/rkə
ďəwurkəlti	ďəwu/rkə/lti
iloː	iloː
oďərə	o/ďə/rə
amaːkaː	amaːkaː
eːkuninkək	eːkuni/n/kək
lapən	lapə/n
jaʃaja	jaʃa/ja
t͡ʃoknatin	t͡ʃok/na/tin
biʃo	bi/ʃo
orolo	orolo
oromilowun	oro/mi/l/o/wun
tirəmtit͡ʃo	tirə/mti/t͡ʃo
pau	pau
ət͡ʃol	ə/t͡ʃo/l
bihiwun	bi/hi/wun
pəktiroːwunmə	pəktiroː/wun/mə
gat͡ʃal	ga/t͡ʃa/l
pəktiroːwun	pəktiroː/wun
ganal	ga/na/l
hurut͡ʃol	huru/t͡ʃo/l
toːliː	toːliː
mut͡ʃuďəraktin	mut͡ʃu/ďə/rak/tin
ərə	ərə
uďaduːtin	uďa/duː/tin
ihit͡ʃakə	ihi/t͡ʃa/kə
hukuγit͡ʃo	huku/γi/t͡ʃo
nuŋariγitin	nuŋari/γi/tin
dinŋiːləːγit͡ʃo	dinŋiːləː/γi/t͡ʃo
təpkəďənə	təpkə/ďə/nə
dinŋiːləːhint͡ʃit͡ʃo	dinŋiːləː/hin/t͡ʃi/t͡ʃo
maril	mari/l
jaktaliː	jakta/liː
dinŋiːləːt͡ʃo	dinŋiːləː/t͡ʃo
aŋti	aŋti
meːwuːjit͡ʃa	meːwuː/ji/t͡ʃa
bəjunmə	bəjun/mə
əton	ə/to/n
pəktiroːrə	pəktiroː/rə
padrat	padrat
amaːkaːwə	amaːkaː/wə
t͡ʃoktaw	t͡ʃok/ta/w
irəmoːďit͡ʃəːw	irəmoː/ďi/t͡ʃəː/w
taːlaːkə	taːlaː/kə
ar	ar
art͡ʃəmkat͡ʃal	art͡ʃəmka/t͡ʃa/l
əːduk	əːduk
telegrammawə	telegramma/wə
buːt͡ʃəːwun	buː/t͡ʃəː/wun
art͡ʃəmkadaːtin	art͡ʃəmka/daː/tin
telegrammuwə	telegrammu/wə
bakat͡ʃal	baka/t͡ʃa/l
pətoːm	pətoːm
wuse	wuse
uʃli	uʃli
kəgda	kəgda
uʒ	uʒ
davno	davno
hawalit͡ʃalaːwun	hawali/t͡ʃalaː/wun
art͡ʃəmkat͡ʃaldəː	art͡ʃəmka/t͡ʃa/l/dəː
hajaːlə	hajaːlə
amandiːt͡ʃal	amandiː/t͡ʃa/l
staːdəwətin	staːdə/wə/tin
dariːliː	dariː/liː
ŋənət͡ʃo	ŋənə/t͡ʃo
bəγəːm	bə/γəː/m
dariːləː	dariː/ləː
ďuːtaːďət͡ʃəːl	ďuː/taː/ďə/t͡ʃəː/l
amarduliːwun	amar/duliː/wun
ahat͡ʃa	aha/t͡ʃa
brigaďiritin	brigaďiri/tin
hoːjduk	hoːj/duk
mut͡ʃuːt͡ʃa	mut͡ʃuː/t͡ʃa
uďaliːn	uďa/liː/n
tajmeɲ	tajmeɲ
ďapkaduːn	ďapka/duː/n
urinərəwun	urinə/rə/wun
art͡ʃarəwun	art͡ʃa/rə/wun
timaːnəktawan	timaːnə/ktawa/n
huktəhinəw	huktə/hinə/w
art͡ʃərəwun	art͡ʃə/rə/wun
haːlwətin	haː/l/wə/tin
taγim	taγi/m
znəkomijilbi	znəkomiji/l/bi
ďuːliːwun	ďuː/liː/wun
ŋənərə	ŋənə/rə
haruːkkar	haruːk/ka/r
huktiwuhijnə	huktiwu/hijn/ə
tarjaːkaklaː	tarjaːka/klaː
ororwətin	oro/r/wə/tin
taŋnaːhiːt͡ʃal	taŋ/naː/hiː/t͡ʃa/l
bit͡ʃoːl	bi/t͡ʃoː/l
taːduktaː	taːduk/taː
girkujit͡ʃaːwun	girku/ji/t͡ʃaː/wun
ďuːlduːtin	ďuː/l/duː/tin
balokilduːtin	baloki/l/duː/tin
ďuːkakaːnďiwər	ďuː/kakaːn/ďi/wər
irəmiːďət͡ʃoːwun	irəmiː/ďə/t͡ʃoː/wun
vtəroj	vtəroj
pervij	pervij
tarilduk	tari/l/duk
girkuďəŋnərəwun	girku/ďə/ŋnə/rə/wun
gorokoːnmə	goro/koːn/mə
tarγit	tar/γit
alikjə	alik/jə
ďiːγit	ďiːγit
ororďi	oro/r/ďi
umuːkoːnduː	umuːkoːn/duː
hurut͡ʃoːwun	huru/t͡ʃoː/wun
tartikiː	tar/tikiː
alik	alik
staːdəlaː	staːdə/laː
staːdəlaːtin	staːdə/laː/tin
nulgiːt͡ʃoːwun	nulgiː/t͡ʃoː/wun
nul	nul
nulgiːt͡ʃoːwuntə	nulgiː/t͡ʃoː/wun/tə
tsəlij	tsəlij
nulgiːw	nulgiː/w
itikirwiː	itiki/r/wiː
ŋənəwumdək	ŋənə/wu/mdək
taːduktə	taːduk/tə
hujett͡ʃoːwun	hujet/t͡ʃoː/wun
əməhit͡ʃoːwun	əmə/hi/t͡ʃoː/wun
ɲaːdiməːt͡ʃaːwun	ɲaːdiməː/t͡ʃaː/wun
orokoːrwə	oro/koː/r/wə
gďətə	gďətə
ďapkutalwaːγint͡ʃə	ďapkutal/waː/γint͡ʃə
əśo	əśo
gniluski	gniluski
dla	dla
dimokura	dimokura
tut	tut
dimokur	dimokur
oleɲam	oleɲam
taskajem	taskajem
iʃo	iʃo
dolboltənə	dolboltənə
ďəbdəːtin	ďəb/dəː/tin
oːŋnam	oː/ŋna/m
ʃtop	ʃtop
dolbo	dolbo
ďəbďədoːtin	ďəb/ďə/doː/tin
hutəldujiː	hutə/l/du/jiː
ďuːduːji	ďuː/duː/ji
hilkiːďəŋnəm	hilkiː/ďə/ŋnə/m
ďəbdoːjə	ďəb/doː/jə
vəri	vəri
uloːďəŋnəm	uloː/ďə/ŋnə/m
oːhakaːri	oːha/kaː/r/i
ut͡ʃuďəŋnəm	u/t͡ʃu/ďə/ŋnə/m
ubirajďiŋnəm	ubiraj/ďi/ŋnə/m
ətirkoːn	ətirkoːn
haŋkələjə	haŋkə/lə/jə
oːďapkiː	oː/ďa/pkiː
vot	vot
saməj	saməj
rəzgar	rəzgar
rəboti	rəboti
əleɲi	əleɲi
ubiga	ubiga
tuksaďipkiːl	tuksa/ďi/pkiː/l
palatkaldi	palatka/l/di
inďəŋnərəwun	in/ďə/ŋnə/rə/wun
palatkəl	palatkə/l
prije	prije
nulgiːŋnərəwun	nulgiː/ŋnə/rə/wun
kurəleśim	kurəleśim
jedim	jedim
ŋənəďəŋnərəwun	ŋənə/ďə/ŋnə/rə/wun
kəpkanilwəl	kəpkani/l/wəl
tawuŋnərə	tawu/ŋnə/rə
oldolo	oldo/l/o
waːďəpkiːl	waː/ďə/pkiː/l
rejsəjə	rejsə/jə
waːŋnərəwun	waː/ŋnə/rə/wun
virtəlotjə	virtəlot/jə
zəkəzaŋnərəwun	zəkəza/ŋnə/rə/wun
prəduktələ	prəduktə/l/ə
huruwupkiːl	huru/wu/pkiː/l
iz	iz
bərasti	bərasti
ďəlali	ďəlali
bərəsťa	bərəsťa
beresten	bereste/n
təːduk	təːduk
oːmnərə	oː/mnə/rə
əːttə	əːt/tə
medl	medl
pəruski	pəruski
iɲitt͡ʃət͡ʃoːwun	iɲ/it/t͡ʃə/t͡ʃoː/wun
letəʒə	letə/ʒə
oːŋmarkə	oːŋ/mar/kə
ətets	ətets
kəkojtə	kəkojtə
bəlezɲ	bəlezɲ
zəxvətili	zəxvətili
pləhoj	pləhoj
uruːpt͡ʃut	uruːpt͡ʃu/t
bussəďit͡ʃoːwun	bussə/ďi/t͡ʃoː/wun
kojəkak	kojəkak
viʒəli	viʒəli
u	u
kovo	kovo
deneg	deneg
jest	jest
brali	brali
ʃoto	ʃoto
raskazutə	raskazutə
wekittə	wek/it/tə
prəmhos	prəmhos
əhiː	əhiː
kəkoj	kəkoj
səfhos	səfhos
li	li
l	l
letə	letə
kək	kək
osiɲ	osiɲ
boliniː	boliniː
oːdənda	oː/də/n/da
ulumiːďədəːs	ulumiː/ďə/dəː/s
ətprəvlali	ətprəvlali
t͡ʃistəj	t͡ʃistəj
tundrəlaː	tundrə/laː
uŋŋnərə	uŋ/ŋnə/rə
nulgiːhinəŋnərəwun	nulgiː/hinə/ŋnə/rə/wun
tartəːki	tartəːki
laːŋilwər	laːŋ/il/wər
aŋənahinəŋnərəwun	aŋə/na/hinə/ŋnə/rə/wun
əʃo	əʃo
raskaʒu	raskaʒu
hutəlwər	hutə/l/wər
iːrgirəwuntə	iːrgi/rə/wun/tə
t͡ʃistij	t͡ʃistij
tundəraduː	tundəra/duː
əduːka	əduː/ka
tər	tər
moːγaduː	moːγa/duː
əŋkitin	ə/ŋki/tin
buːrə	buː/rə
saďiktuː	saďik/tuː
daʒə	daʒə
deɲgi	deɲgi
rebitiʃək	rebitiʃək
ne	ne
videlali	videlali
virəsli	virəsli
pərniʃkə	pərniʃkə
hərəso	hərəso
ut͡ʃilśə	ut͡ʃilśə
s	s
nim	nim
nuŋənduːn	nuŋənduːn
kamaγaː	kamaγaː
əduːwəl	ə/duː/wəl
əmərədə	əmə/rə/də
ďuːduːwərnə	ďuː/duː/wər/nə
prəmhosduː	prəmhos/duː
skolkə	skolkə
hodi	hodi
eti	eti
stroili	stroili
ʒe	ʒe
gruʒili	gruʒili
əməśoːtin	əmə/śoː/tin
ajat	ajat
lərok	lərok
nit͡ʃəvo	nit͡ʃəvo
netu	netu
prəduktə	prəduktə
taʃim	taʃim
prəduktələwər	prəduktə/l/ə/wər
uguːgərəw	uguː/gə/rə/w
bit͡ʃəvoj	bit͡ʃəvoj
təskali	təskali
pramhostuː	pramhos/tuː
hawalďanəl	hawal/ďa/nə/l
irakaːnmun	ira/kaːn/mun
bussəldən	bussə/l/də/n
əlit͡ʃəpil	əlit͡ʃəpil
əna	əna
dolgə	dolgə
təːliːda	təːliː/da
uŋundu	uŋun/du
vərhnəimbaskəduː	vərhnəimbaskə/duː
hawalďət͡ʃaːn	hawal/ďə/t͡ʃaː/n
motorjawər	motor/ja/wər
gaŋnəːrəwun	ga/ŋnəː/rə/wun
jəʃo	jəʃo
əːjə	əː/jə
ət	ət
ulgut͡ʃəːnďəm	ulgut͡ʃəːn/ďə/m
hutə	hutə
hutəkəːrwiː	hutə/kəː/r/wiː
umir	umir
səpoʒnikəf	səpoʒnikəf
məːnin	məːni/n
əjəːrən	əjəː/rə/n
tseləj	tseləj
deɲ	deɲ
ribaktuː	ribak/tuː
əjəːt͡ʃəːn	əjəː/t͡ʃəː/n
əjət͡ʃəl	əjə/t͡ʃə/l
guːɲďərə	guːɲ/ďə/rə
ret͡ʃkəduː	ret͡ʃkə/duː
hujukukoːnduː	huju/kukoːn/duː
ťiper	ťiper
tugə	tugə
vremə	vremə
stalə	stalə
znaju	znaju
kuda	kuda
detsə	detsə
ɲaːn	ɲaːn
tamat͡ʃaːn	tama/t͡ʃaː/n
amiːntin	amiːn/tin
sudəwə	sudə/wə
oːt͡ʃəːn	oː/t͡ʃəː/n
əjəːttəkiwun	əjəːt/təki/wun
ulitsə	ulitsə
stəiʃ	stəiʃ
ɲə	ɲə
bili	bili
hoť	hoť
bəjəl	bəjə/l
iɲďəŋkitin	iɲ/ďə/ŋki/tin
priedit	priedit
rimontəjə	rimontə/jə
ət͡ʃil	ə/t͡ʃi/l
oːďərə	oː/ďə/rə
ɲi	ɲi
rimontəkaːnwə	rimontə/kaːn/wə
əːwədəː	əː/wə/dəː
śimjakaːnin	śimja/kaːn/i/n
bolʃoj	bolʃoj
bil	bil
əməːnmurən	əməːn/mu/rə/n
fseh	fseh
ugnali	ugnali
ʒizɲ	ʒizɲ
proʒitə	proʒitə
tukkər	tuk/kər
vśotəki	vśotəki
hot͡ʃ	hot͡ʃ
tirganiːlwə	tirganiː/l/wə
